"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","Chat returns 400 for an empty message","","2026-02-22","passed","2026-02-22","","","",""
"","465","Retrieve a non-existent flight order returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","527","Retrieve an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","256","Get passengers for unknown flight returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","1814","Chat returns a response for a valid message","","2026-02-22","passed","2026-02-22","","","",""
"","517","Get passengers for a valid flight number","","2026-02-22","passed","2026-02-22","","","",""
"","65","Backend health check returns ok","","2026-02-22","passed","2026-02-22","","","",""
"","785","Delete an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","4808","Create a flight order returns 201 with an orderId","","2026-02-22","passed","2026-02-22","","","",""
"","2948","User searches, books, retrieves and cancels a flight","","2026-02-22","passed","2026-02-22","","","",""
