"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","Chat returns 400 for an empty message","","2026-03-02","passed","2026-03-02","","","",""
"","968","Retrieve an existing flight order","","2026-03-02","passed","2026-03-02","","","",""
"","3377","User searches, books, retrieves and cancels a flight","","2026-03-02","passed","2026-03-02","","","",""
"","824","Delete an existing flight order","","2026-03-02","passed","2026-03-02","","","",""
"","275","Get passengers for unknown flight returns 404","","2026-03-02","passed","2026-03-02","","","",""
"","884","Create a flight order returns 201 with an orderId","","2026-03-02","passed","2026-03-02","","","",""
"","275","Retrieve a non-existent flight order returns 404","","2026-03-02","passed","2026-03-02","","","",""
"","761","Get passengers for a valid flight number","","2026-03-02","passed","2026-03-02","","","",""
"","3411","Chat returns a response for a valid message","","2026-03-02","failed","2026-03-02","","","",""
"","248","Backend health check returns ok","","2026-03-02","passed","2026-03-02","","","",""
