"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Get passengers for unknown flight returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","764","Delete an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
"","786","Get passengers for a valid flight number","","2026-02-28","passed","2026-02-28","","","",""
"","874","Chat returns a response for a valid message","","2026-02-28","passed","2026-02-28","","","",""
"","101","Backend health check returns ok","","2026-02-28","passed","2026-02-28","","","",""
"","837","Create a flight order returns 201 with an orderId","","2026-02-28","passed","2026-02-28","","","",""
"","160","Chat returns 400 for an empty message","","2026-02-28","passed","2026-02-28","","","",""
"","887","Retrieve an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
"","1868","User searches, books, retrieves and cancels a flight","","2026-02-28","passed","2026-02-28","","","",""
"","327","Retrieve a non-existent flight order returns 404","","2026-02-28","passed","2026-02-28","","","",""
