"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83","Backend health check returns ok","","2026-03-02","passed","2026-03-02","","","",""
"","2233","Create a flight order returns 201 with an orderId","","2026-03-02","passed","2026-03-02","","","",""
"","62","Chat returns 400 for an empty message","","2026-03-02","passed","2026-03-02","","","",""
"","738","Delete an existing flight order","","2026-03-02","passed","2026-03-02","","","",""
"","773","Retrieve an existing flight order","","2026-03-02","passed","2026-03-02","","","",""
"","2872","User searches, books, retrieves and cancels a flight","","2026-03-02","passed","2026-03-02","","","",""
"","246","Get passengers for unknown flight returns 404","","2026-03-02","passed","2026-03-02","","","",""
"","275","Retrieve a non-existent flight order returns 404","","2026-03-02","passed","2026-03-02","","","",""
"","709","Get passengers for a valid flight number","","2026-03-02","passed","2026-03-02","","","",""
"","938","Chat returns a response for a valid message","","2026-03-02","passed","2026-03-02","","","",""
