"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","487","Get passengers for a valid flight number","","2026-02-22","passed","2026-02-22","","","",""
"","24","Backend health check returns ok","","2026-02-22","passed","2026-02-22","","","",""
"","608","Chat returns a response for a valid message","","2026-02-22","passed","2026-02-22","","","",""
"","27","Chat returns 400 for an empty message","","2026-02-22","passed","2026-02-22","","","",""
"","165","Create a flight order returns 201 with an orderId","","2026-02-22","failed","2026-02-22","","","",""
"","250","Get passengers for unknown flight returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","2759","User searches, books, retrieves and cancels a flight","","2026-02-22","passed","2026-02-22","","","",""
"","238","Retrieve a non-existent flight order returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","722","Delete an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","4387","Retrieve an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
