"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","117","Backend health check returns ok","","2026-02-28","passed","2026-02-28","","","",""
"","967","Delete an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
"","829","Create a flight order returns 201 with an orderId","","2026-02-28","passed","2026-02-28","","","",""
"","661","Retrieve an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
"","704","Get passengers for a valid flight number","","2026-02-28","passed","2026-02-28","","","",""
"","390","Get passengers for unknown flight returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","122","Chat returns 400 for an empty message","","2026-02-28","passed","2026-02-28","","","",""
"","329","Retrieve a non-existent flight order returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","823","Chat returns a response for a valid message","","2026-02-28","passed","2026-02-28","","","",""
"","3422","User searches, books, retrieves and cancels a flight","","2026-02-28","passed","2026-02-28","","","",""
