"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","861","Chat returns a response for a valid message","","2026-02-28","passed","2026-02-28","","","",""
"","750","Get passengers for a valid flight number","","2026-02-28","passed","2026-02-28","","","",""
"","2127","User searches, books, retrieves and cancels a flight","","2026-02-28","passed","2026-02-28","","","",""
"","122","Backend health check returns ok","","2026-02-28","passed","2026-02-28","","","",""
"","276","Get passengers for unknown flight returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","789","Create a flight order returns 201 with an orderId","","2026-02-28","passed","2026-02-28","","","",""
"","911","Retrieve an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
"","863","Delete an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
"","164","Chat returns 400 for an empty message","","2026-02-28","passed","2026-02-28","","","",""
"","266","Retrieve a non-existent flight order returns 404","","2026-02-28","passed","2026-02-28","","","",""
