"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","112","Chat returns 400 for an empty message","","2026-03-06","passed","2026-03-06","","","",""
"","260","Get passengers for unknown flight returns 404","","2026-03-06","passed","2026-03-06","","","",""
"","61","Backend health check returns ok","","2026-03-06","passed","2026-03-06","","","",""
"","859","Delete an existing flight order","","2026-03-06","passed","2026-03-06","","","",""
"","1252","Chat returns a response for a valid message","","2026-03-06","failed","2026-03-06","","","",""
"","3034","User searches, books, retrieves and cancels a flight","","2026-03-06","passed","2026-03-06","","","",""
"","750","Create a flight order returns 201 with an orderId","","2026-03-06","passed","2026-03-06","","","",""
"","252","Retrieve a non-existent flight order returns 404","","2026-03-06","passed","2026-03-06","","","",""
"","900","Retrieve an existing flight order","","2026-03-06","passed","2026-03-06","","","",""
"","736","Get passengers for a valid flight number","","2026-03-06","passed","2026-03-06","","","",""
