"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2913","User searches, books, retrieves and cancels a flight","","2026-03-02","passed","2026-03-02","","","",""
"","883","Retrieve an existing flight order","","2026-03-02","passed","2026-03-02","","","",""
"","104","Chat returns 400 for an empty message","","2026-03-02","passed","2026-03-02","","","",""
"","293","Retrieve a non-existent flight order returns 404","","2026-03-02","passed","2026-03-02","","","",""
"","874","Delete an existing flight order","","2026-03-02","passed","2026-03-02","","","",""
"","798","Get passengers for a valid flight number","","2026-03-02","passed","2026-03-02","","","",""
"","261","Get passengers for unknown flight returns 404","","2026-03-02","passed","2026-03-02","","","",""
"","925","Chat returns a response for a valid message","","2026-03-02","passed","2026-03-02","","","",""
"","54","Backend health check returns ok","","2026-03-02","passed","2026-03-02","","","",""
"","2057","Create a flight order returns 201 with an orderId","","2026-03-02","passed","2026-03-02","","","",""
