"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4547","Retrieve an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","720","Chat returns a response for a valid message","","2026-02-22","failed","2026-02-22","","","",""
"","234","Chat returns 400 for an empty message","","2026-02-22","failed","2026-02-22","","","",""
"","651","Get passengers for a valid flight number","","2026-02-22","passed","2026-02-22","","","",""
"","322","Retrieve a non-existent flight order returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","298","User searches, books, retrieves and cancels a flight","","2026-02-22","failed","2026-02-22","","","",""
"","323","Get passengers for unknown flight returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","1012","Delete an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","351","Create a flight order returns 201 with an orderId","","2026-02-22","failed","2026-02-22","","","",""
"","238","Backend health check returns ok","","2026-02-22","broken","2026-02-22","","","",""
