"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3239","User searches, books, retrieves and cancels a flight","","2026-03-06","passed","2026-03-06","","","",""
"","836","Get passengers for a valid flight number","","2026-03-06","passed","2026-03-06","","","",""
"","948","Delete an existing flight order","","2026-03-06","passed","2026-03-06","","","",""
"","310","Retrieve a non-existent flight order returns 404","","2026-03-06","passed","2026-03-06","","","",""
"","748","Create a flight order returns 201 with an orderId","","2026-03-06","passed","2026-03-06","","","",""
"","961","Retrieve an existing flight order","","2026-03-06","passed","2026-03-06","","","",""
"","662","Chat returns a response for a valid message","","2026-03-06","failed","2026-03-06","","","",""
"","102","Chat returns 400 for an empty message","","2026-03-06","passed","2026-03-06","","","",""
"","314","Get passengers for unknown flight returns 404","","2026-03-06","passed","2026-03-06","","","",""
"","101","Backend health check returns ok","","2026-03-06","passed","2026-03-06","","","",""
