"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","800","Get passengers for a valid flight number","","2026-03-02","passed","2026-03-02","","","",""
"","94","Chat returns 400 for an empty message","","2026-03-02","passed","2026-03-02","","","",""
"","1903","Chat returns a response for a valid message","","2026-03-02","passed","2026-03-02","","","",""
"","299","Get passengers for unknown flight returns 404","","2026-03-02","passed","2026-03-02","","","",""
"","776","Create a flight order returns 201 with an orderId","","2026-03-02","passed","2026-03-02","","","",""
"","923","Retrieve an existing flight order","","2026-03-02","passed","2026-03-02","","","",""
"","99","Backend health check returns ok","","2026-03-02","passed","2026-03-02","","","",""
"","292","Retrieve a non-existent flight order returns 404","","2026-03-02","passed","2026-03-02","","","",""
"","3112","User searches, books, retrieves and cancels a flight","","2026-03-02","passed","2026-03-02","","","",""
"","900","Delete an existing flight order","","2026-03-02","passed","2026-03-02","","","",""
