"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","243","Get passengers for unknown flight returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","71","Chat returns 400 for an empty message","","2026-02-28","passed","2026-02-28","","","",""
"","661","Chat returns a response for a valid message","","2026-02-28","passed","2026-02-28","","","",""
"","655","Create a flight order returns 201 with an orderId","","2026-02-28","passed","2026-02-28","","","",""
"","684","Get passengers for a valid flight number","","2026-02-28","passed","2026-02-28","","","",""
"","748","Retrieve an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
"","33","Backend health check returns ok","","2026-02-28","passed","2026-02-28","","","",""
"","2125","User searches, books, retrieves and cancels a flight","","2026-02-28","passed","2026-02-28","","","",""
"","266","Retrieve a non-existent flight order returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","841","Delete an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
