"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","170","Chat returns 400 for an empty message","","2026-02-22","failed","2026-02-22","","","",""
"","115","Backend health check returns ok","","2026-02-22","passed","2026-02-22","","","",""
"","542","Get passengers for a valid flight number","","2026-02-22","passed","2026-02-22","","","",""
"","557","Retrieve an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","281","Retrieve a non-existent flight order returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","272","Get passengers for unknown flight returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","371","Chat returns a response for a valid message","","2026-02-22","failed","2026-02-22","","","",""
"","824","Delete an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","3312","User searches, books, retrieves and cancels a flight","","2026-02-22","passed","2026-02-22","","","",""
"","4864","Create a flight order returns 201 with an orderId","","2026-02-22","passed","2026-02-22","","","",""
