"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","502","Retrieve an existing flight order","","2026-02-27","passed","2026-02-27","","","",""
"","69","Chat returns 400 for an empty message","","2026-02-27","passed","2026-02-27","","","",""
"","980","Chat returns a response for a valid message","","2026-02-27","passed","2026-02-27","","","",""
"","480","Get passengers for a valid flight number","","2026-02-27","failed","2026-02-27","","","",""
"","4910","Create a flight order returns 201 with an orderId","","2026-02-27","passed","2026-02-27","","","",""
"","29","Backend health check returns ok","","2026-02-27","passed","2026-02-27","","","",""
"","775","Delete an existing flight order","","2026-02-27","passed","2026-02-27","","","",""
"","2883","User searches, books, retrieves and cancels a flight","","2026-02-27","passed","2026-02-27","","","",""
"","241","Retrieve a non-existent flight order returns 404","","2026-02-27","passed","2026-02-27","","","",""
"","246","Get passengers for unknown flight returns 404","","2026-02-27","failed","2026-02-27","","","",""
