"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","Chat returns 400 for an empty message","","2026-02-28","passed","2026-02-28","","","",""
"","245","Get passengers for unknown flight returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","606","Create a flight order returns 201 with an orderId","","2026-02-28","passed","2026-02-28","","","",""
"","687","Get passengers for a valid flight number","","2026-02-28","passed","2026-02-28","","","",""
"","2779","User searches, books, retrieves and cancels a flight","","2026-02-28","passed","2026-02-28","","","",""
"","668","Chat returns a response for a valid message","","2026-02-28","passed","2026-02-28","","","",""
"","244","Retrieve a non-existent flight order returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","788","Retrieve an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
"","36","Backend health check returns ok","","2026-02-28","passed","2026-02-28","","","",""
"","726","Delete an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
