"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","694","Create a flight order returns 201 with an orderId","","2026-03-06","passed","2026-03-06","","","",""
"","1047","Chat returns a response for a valid message","","2026-03-06","passed","2026-03-06","","","",""
"","299","Retrieve a non-existent flight order returns 404","","2026-03-06","passed","2026-03-06","","","",""
"","1131","Get passengers for a valid flight number","","2026-03-06","passed","2026-03-06","","","",""
"","202","Chat returns 400 for an empty message","","2026-03-06","passed","2026-03-06","","","",""
"","306","Get passengers for unknown flight returns 404","","2026-03-06","passed","2026-03-06","","","",""
"","93","Backend health check returns ok","","2026-03-06","passed","2026-03-06","","","",""
"","936","Retrieve an existing flight order","","2026-03-06","passed","2026-03-06","","","",""
"","3282","User searches, books, retrieves and cancels a flight","","2026-03-06","passed","2026-03-06","","","",""
"","893","Delete an existing flight order","","2026-03-06","passed","2026-03-06","","","",""
