"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","Get passengers for unknown flight returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","4738","Create a flight order returns 201 with an orderId","","2026-02-22","passed","2026-02-22","","","",""
"","721","Delete an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","492","Retrieve an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","48","Backend health check returns ok","","2026-02-22","passed","2026-02-22","","","",""
"","67","Chat returns 400 for an empty message","","2026-02-22","failed","2026-02-22","","","",""
"","467","Get passengers for a valid flight number","","2026-02-22","passed","2026-02-22","","","",""
"","237","Retrieve a non-existent flight order returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","2937","User searches, books, retrieves and cancels a flight","","2026-02-22","passed","2026-02-22","","","",""
"","1548","Chat returns a response for a valid message","","2026-02-22","failed","2026-02-22","","","",""
