"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102","Backend health check returns ok","","2026-03-02","passed","2026-03-02","","","",""
"","292","Retrieve a non-existent flight order returns 404","","2026-03-02","passed","2026-03-02","","","",""
"","890","Retrieve an existing flight order","","2026-03-02","passed","2026-03-02","","","",""
"","3163","User searches, books, retrieves and cancels a flight","","2026-03-02","passed","2026-03-02","","","",""
"","300","Get passengers for unknown flight returns 404","","2026-03-02","passed","2026-03-02","","","",""
"","613","Create a flight order returns 201 with an orderId","","2026-03-02","passed","2026-03-02","","","",""
"","131","Chat returns 400 for an empty message","","2026-03-02","passed","2026-03-02","","","",""
"","627","Chat returns a response for a valid message","","2026-03-02","passed","2026-03-02","","","",""
"","972","Delete an existing flight order","","2026-03-02","passed","2026-03-02","","","",""
"","806","Get passengers for a valid flight number","","2026-03-02","passed","2026-03-02","","","",""
