"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2528","Chat returns a response for a valid message","","2026-02-25","passed","2026-02-25","","","",""
"","263","Retrieve a non-existent flight order returns 404","","2026-02-25","passed","2026-02-25","","","",""
"","53","Backend health check returns ok","","2026-02-25","passed","2026-02-25","","","",""
"","3182","User searches, books, retrieves and cancels a flight","","2026-02-25","passed","2026-02-25","","","",""
"","176","Chat returns 400 for an empty message","","2026-02-25","passed","2026-02-25","","","",""
"","257","Get passengers for unknown flight returns 404","","2026-02-25","failed","2026-02-25","","","",""
"","973","Delete an existing flight order","","2026-02-25","passed","2026-02-25","","","",""
"","511","Get passengers for a valid flight number","","2026-02-25","failed","2026-02-25","","","",""
"","575","Retrieve an existing flight order","","2026-02-25","passed","2026-02-25","","","",""
"","5203","Create a flight order returns 201 with an orderId","","2026-02-25","passed","2026-02-25","","","",""
