"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","Get passengers for unknown flight returns 404","","2026-02-27","passed","2026-02-27","","","",""
"","536","Get passengers for a valid flight number","","2026-02-27","passed","2026-02-27","","","",""
"","2770","User searches, books, retrieves and cancels a flight","","2026-02-27","passed","2026-02-27","","","",""
"","801","Delete an existing flight order","","2026-02-27","passed","2026-02-27","","","",""
"","2002","Create a flight order returns 201 with an orderId","","2026-02-27","passed","2026-02-27","","","",""
"","320","Retrieve a non-existent flight order returns 404","","2026-02-27","passed","2026-02-27","","","",""
"","49","Backend health check returns ok","","2026-02-27","passed","2026-02-27","","","",""
"","541","Retrieve an existing flight order","","2026-02-27","passed","2026-02-27","","","",""
"","796","Chat returns a response for a valid message","","2026-02-27","passed","2026-02-27","","","",""
"","100","Chat returns 400 for an empty message","","2026-02-27","passed","2026-02-27","","","",""
