"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","Backend health check returns ok","","2026-03-06","passed","2026-03-06","","","",""
"","828","Delete an existing flight order","","2026-03-06","passed","2026-03-06","","","",""
"","745","Get passengers for a valid flight number","","2026-03-06","passed","2026-03-06","","","",""
"","2450","Chat returns a response for a valid message","","2026-03-06","passed","2026-03-06","","","",""
"","849","Create a flight order returns 201 with an orderId","","2026-03-06","passed","2026-03-06","","","",""
"","3012","User searches, books, retrieves and cancels a flight","","2026-03-06","passed","2026-03-06","","","",""
"","62","Chat returns 400 for an empty message","","2026-03-06","passed","2026-03-06","","","",""
"","852","Retrieve an existing flight order","","2026-03-06","passed","2026-03-06","","","",""
"","264","Retrieve a non-existent flight order returns 404","","2026-03-06","passed","2026-03-06","","","",""
"","261","Get passengers for unknown flight returns 404","","2026-03-06","passed","2026-03-06","","","",""
