"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","747","Delete an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
"","248","Get passengers for unknown flight returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","2136","User searches, books, retrieves and cancels a flight","","2026-02-28","passed","2026-02-28","","","",""
"","27","Chat returns 400 for an empty message","","2026-02-28","passed","2026-02-28","","","",""
"","706","Create a flight order returns 201 with an orderId","","2026-02-28","passed","2026-02-28","","","",""
"","733","Chat returns a response for a valid message","","2026-02-28","passed","2026-02-28","","","",""
"","794","Retrieve an existing flight order","","2026-02-28","passed","2026-02-28","","","",""
"","238","Retrieve a non-existent flight order returns 404","","2026-02-28","passed","2026-02-28","","","",""
"","671","Get passengers for a valid flight number","","2026-02-28","passed","2026-02-28","","","",""
"","61","Backend health check returns ok","","2026-02-28","passed","2026-02-28","","","",""
