"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","518","Get passengers for a valid flight number","","2026-02-22","passed","2026-02-22","","","",""
"","535","Retrieve an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","256","Retrieve a non-existent flight order returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","252","Get passengers for unknown flight returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","50","Backend health check returns ok","","2026-02-22","passed","2026-02-22","","","",""
"","777","Delete an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","600","Create a flight order returns 201 with an orderId","","2026-02-22","passed","2026-02-22","","","",""
"","3577","User searches, books, retrieves and cancels a flight","","2026-02-22","passed","2026-02-22","","","",""
"","290","Chat returns a response for a valid message","","2026-02-22","failed","2026-02-22","","","",""
"","111","Chat returns 400 for an empty message","","2026-02-22","failed","2026-02-22","","","",""
