"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","565","Create a flight order returns 201 with an orderId","","2026-02-21","passed","2026-02-21","","","",""
"","776","Delete an existing flight order","","2026-02-21","passed","2026-02-21","","","",""
"","70","Chat returns 400 for an empty message","","2026-02-21","passed","2026-02-21","","","",""
"","529","Retrieve an existing flight order","","2026-02-21","passed","2026-02-21","","","",""
"","269","Get passengers for unknown flight returns 404","","2026-02-21","passed","2026-02-21","","","",""
"","551","Get passengers for a valid flight number","","2026-02-21","passed","2026-02-21","","","",""
"","609","Chat returns a response for a valid message","","2026-02-21","passed","2026-02-21","","","",""
"","53","Backend health check returns ok","","2026-02-21","passed","2026-02-21","","","",""
"","253","Retrieve a non-existent flight order returns 404","","2026-02-21","passed","2026-02-21","","","",""
"","2905","User searches, books, retrieves and cancels a flight","","2026-02-21","passed","2026-02-21","","","",""
