"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","121","Backend health check returns ok","","2026-03-06","passed","2026-03-06","","","",""
"","978","Chat returns a response for a valid message","","2026-03-06","passed","2026-03-06","","","",""
"","929","Retrieve an existing flight order","","2026-03-06","passed","2026-03-06","","","",""
"","111","Chat returns 400 for an empty message","","2026-03-06","passed","2026-03-06","","","",""
"","323","Retrieve a non-existent flight order returns 404","","2026-03-06","passed","2026-03-06","","","",""
"","694","Create a flight order returns 201 with an orderId","","2026-03-06","passed","2026-03-06","","","",""
"","837","Get passengers for a valid flight number","","2026-03-06","passed","2026-03-06","","","",""
"","3228","User searches, books, retrieves and cancels a flight","","2026-03-06","passed","2026-03-06","","","",""
"","922","Delete an existing flight order","","2026-03-06","passed","2026-03-06","","","",""
"","312","Get passengers for unknown flight returns 404","","2026-03-06","passed","2026-03-06","","","",""
