"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Retrieve a non-existent flight order returns 404","","2026-02-27","passed","2026-02-27","","","",""
"","275","Get passengers for unknown flight returns 404","","2026-02-27","failed","2026-02-27","","","",""
"","163","Backend health check returns ok","","2026-02-27","passed","2026-02-27","","","",""
"","3333","User searches, books, retrieves and cancels a flight","","2026-02-27","passed","2026-02-27","","","",""
"","564","Retrieve an existing flight order","","2026-02-27","passed","2026-02-27","","","",""
"","5587","Create a flight order returns 201 with an orderId","","2026-02-27","passed","2026-02-27","","","",""
"","815","Delete an existing flight order","","2026-02-27","passed","2026-02-27","","","",""
"","139","Chat returns 400 for an empty message","","2026-02-27","passed","2026-02-27","","","",""
"","557","Get passengers for a valid flight number","","2026-02-27","failed","2026-02-27","","","",""
"","1069","Chat returns a response for a valid message","","2026-02-27","passed","2026-02-27","","","",""
